raceId,Constructor,Driver,tbl
57,2,35,89364.0
58,4,4,0.0
58,6,30,18502.0
58,4,21,23951.0
58,6,13,29853.0
58,1,8,56875.0
58,11,18,58347.0
59,4,4,0.0
59,1,31,14567.0
59,9,14,52298.0
59,11,22,53337.0
59,6,30,53830.0
59,4,21,62072.0
60,4,4,0.0
60,6,30,13951.0
60,1,8,18672.0
60,4,21,19976.0
60,6,13,31559.0
60,1,31,64769.0
60,2,2,74594.0
60,2,35,78299.0
60,3,3,79008.0
61,4,4,0.0
61,6,30,2100.0
61,1,8,8800.0
61,4,21,15600.0
61,6,13,25100.0
62,6,30,0.0
62,6,13,7984.0
62,4,21,16595.0
62,7,15,23604.0
62,4,4,28410.0
62,11,22,36513.0
63,6,30,0.0
63,4,4,10100.0
63,6,13,22500.0
63,7,23,27200.0
63,1,8,33000.0
63,4,21,45200.0
63,1,37,49400.0
64,6,30,0.0
64,6,13,700.0
64,1,8,13200.0
64,11,18,18800.0
64,4,4,23700.0
64,4,21,24800.0
64,7,15,26500.0
64,9,32,48100.0
64,7,23,60300.0
65,11,18,0.0
65,1,37,30837.0
65,2,2,43822.0
65,11,22,45205.0
66,6,13,0.0
66,4,4,5575.0
66,6,30,5656.0
66,11,18,12334.0
66,1,37,45908.0
66,4,21,46594.0
66,7,23,59337.0
66,11,22,60034.0
67,6,30,0.0
67,1,8,8046.0
67,2,9,26414.0
67,4,21,32045.0
67,11,18,32685.0
67,11,22,42409.0
67,7,15,44662.0
67,2,2,45309.0
67,6,13,45995.0
67,3,17,72602.0
68,6,30,0.0
68,4,4,3121.0
68,4,21,44197.0
68,11,18,72056.0
68,1,37,77137.0
68,11,22,79131.0
68,2,2,91979.0
68,3,17,103588.0
68,9,14,103796.0
69,4,4,0.0
69,6,13,16151.0
69,4,21,23953.0
69,11,18,34101.0
69,1,8,43596.0
69,7,15,46717.0
69,7,23,48869.0
69,2,2,76095.0
69,2,9,76932.0
70,6,13,0.0
70,4,4,18658.0
70,11,18,19394.0
70,6,30,24094.0
70,1,8,28503.0
70,4,21,30287.0
70,11,22,40294.0
70,1,37,52068.0
70,2,9,67642.0
71,4,21,0.0
71,6,22,5553.0
71,4,4,6712.0
71,9,14,16131.0
71,3,17,16908.0
71,1,31,35033.0
71,9,32,38997.0
71,1,8,39633.0
71,7,15,63108.0
71,15,13,64393.0
72,4,4,0.0
72,7,15,24327.0
72,3,2,32188.0
72,1,31,41631.0
72,7,23,51854.0
72,9,14,72543.0
72,6,30,79988.0
72,9,32,80835.0
72,1,8,81580.0
73,4,4,0.0
73,7,15,13409.0
73,1,8,32063.0
73,7,23,53272.0
73,1,37,64988.0
73,3,17,74701.0
74,4,4,0.0
74,6,30,215.0
74,1,25,27554.0
74,15,35,64442.0
