#,Year,ET,MPH,Last,First,Entry,State,Engine,Make,Model,Chassis,Class,Unnamed: 13
3754,2008,4.653,321.81,Hartley,Joe,Hartley Racing,Oregon,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3755,2009,0.0,0.0,Hartley,Joe,Hartley Racing,Oregon,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3756,1993,5.149,271.08,Hartman,Rhonda,Hartman Enterprises,South Carolina,JP-1 Hemi,,Dragster,Al Swindahl,TF,EDIT THIS!
3757,1993,5.532,240.51,Hartman,Rhonda,Trotter & Hartman,California,JP-1 Hemi,,Dragster,Rob Stirling,TF,EDIT THIS!
3758,1994,5.003,288.73,Hartman,Rhonda,Hartman Enterprises,South Carolina,TFX Hemi,,Dragster,J. Ed Horton,TF,EDIT THIS!
3759,1995,4.99,295.17,Hartman,Rhonda,Hartman Enterprises,South Carolina,TFX Hemi,,Dragster,J. Ed Horton,TF,EDIT THIS!
3760,1996,5.019,289.85,Hartman,Rhonda,Hartman Enterprises,South Carolina,TFX Hemi,,Dragster,J. Ed Horton,TF,EDIT THIS!
3761,1994,5.397,262.23,Hartman,Richard,Hartman Enterprises,South Carolina,TFX Hemi,,Dragster,J. Ed Horton,TF,EDIT THIS!
3762,1995,0.0,0.0,Hartman,Richard,Hartman Enterprises,South Carolina,TFX Hemi,,Dragster,J. Ed Horton,TF,EDIT THIS!
3763,1996,0.0,0.0,Hartman,Richard,Hartman Enterprises,South Carolina,TFX Hemi,,Dragster,J. Ed Horton,TF,EDIT THIS!
3764,1997,4.718,307.58,Hartman-Smith,Rhonda,Hartman Enterprises,South Carolina,TFX Hemi,,Dragster,J. Ed Horton,TF,EDIT THIS!
3765,1998,4.933,294.21,Hartman-Smith,Rhonda,Hartman Enterprises,South Carolina,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3766,1999,5.355,174.99,Hartman-Smith,Rhonda,Hartman Enterprises,South Carolina,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3767,2000,4.668,312.35,Hartman-Smith,Rhonda,Fram Autolite,South Carolina,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3768,2001,4.591,318.47,Hartman-Smith,Rhonda,Fram Triad Filters,South Carolina,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3769,2002,4.578,318.92,Hartman-Smith,Rhonda,Fram Triad Filters,South Carolina,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3770,2003,4.523,323.66,Hartman-Smith,Rhonda,Fram Triad Filters,South Carolina,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3771,2004,4.582,325.92,Hartman-Smith,Rhonda,Fram Airhog Filters,South Carolina,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3772,2006,0.0,0.0,Hartman-Smith,Rhonda,Sears Craftman,South Carolina,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3773,2010,0.0,0.0,Hartman-Smith,Rhonda,Hartman Racing,South Carolina,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3774,1971,0.0,0.0,Harvey,Paul,Harvey & Moore,Colorado,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3775,1972,6.649,230.17,Harvey,Paul,Harvey & Moore,Colorado,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3776,1973,6.57,229.0,Harvey,Paul,Harvey & Moore,Colorado,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3777,1959,10.33,149.0,Hashim,Ernie,Hashim's Automotive,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3778,1980,0.0,0.0,Hasselstrom,Anders,Anders Hasselstrom,,Keith Black Hemi,,Dragster,,TF,EDIT THIS!
3779,1971,6.999,194.8,Hatchell,Lewis,Hatchell Bros.,Colorado,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3780,1973,6.99,0.0,Hatchell,Lewis,Hatchell Bros.,Colorado,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3781,1969,0.0,0.0,Hawkins,Dave,Scotty's Drive In,Oregon,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3782,1973,0.0,0.0,Hawley,Frank,Hawley Family,Ontario,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3783,1973,0.0,0.0,Hawley,Frank,Lloyd Noxell,Ontario,Chrysler Hemi,,Dragster,Logghe Stamping Co.,AA/FD,EDIT THIS!
3784,1974,6.63,211.76,Hawley,Frank,Lloyd Noxell,Ontario,Chrysler Hemi,,Dragster,Logghe Stamping Co.,AA/FD,EDIT THIS!
3785,1988,5.061,282.39,Hawley,Frank,Miller High Life,Florida,Keith Black Hemi,,Dragster,Al Swindahl,TF,EDIT THIS!
3786,1989,5.067,284.45,Hawley,Frank,Miller High Life,Florida,Keith Black Hemi,,Dragster,Al Swindahl,TF,EDIT THIS!
3787,1990,4.95,284.18,Hawley,Frank,Coors Light,Florida,Keith Black Hemi,,Dragster,Mike Kase,TF,EDIT THIS!
3788,1991,4.92,287.72,Hawley,Frank,Coors Extra Gold,Florida,Keith Black Hemi,,Dragster,Mike Kase,TF,EDIT THIS!
3789,1970,7.07,0.0,Hawood,Jim,Butters & Gerard,California,Chrysler Hemi,,Dragster,Eddie Potter,AA/FD,EDIT THIS!
3790,1963,0.0,202.24,Hay,Clarence,Clarence Hay,Illinois,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3791,1965,8.665,183.67,Hay,Oz,Lund & Hay,Illinois,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3792,1964,0.0,0.0,Hayes,Ralph,Ralph Hayes,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3793,1965,8.38,181.21,Hayes,Ralph,Ralph Hayes,California,Chevrolet,,Dragster,,A/FD,EDIT THIS!
3794,1973,0.0,0.0,Hayward,Owen,Houndog 7,Essex,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3795,1974,0.0,0.0,Hayward,Owen,Houndog 8,Essex,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3796,1975,6.54,221.24,Hayward,Owen,Houndog 8,Essex,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3797,1976,6.3,223.32,Hayward,Owen,Houndog 8,Essex,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3798,1977,0.0,0.0,Hayward,Owen,Houndog 8,Essex,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3799,1970,7.324,0.0,Hazen,Gary,Panic!,California,Chrysler Hemi,,Dragster,Dennis Watson,AA/FD,EDIT THIS!
3800,1971,0.0,0.0,Hazen,Gary,Panic!,California,Chrysler Hemi,,Dragster,Dennis Watson,AA/FD,EDIT THIS!
3801,1973,0.0,0.0,Hazen,Gary,Panic!,California,Donovan Hemi,,Dragster,,AA/FD,EDIT THIS!
3802,1974,6.24,228.42,Hazen,Gary,Panic!,California,Donovan Hemi,,Dragster,,AA/FD,EDIT THIS!
3803,1975,6.218,234.37,Hazen,Gary,Panic!,California,Donovan Hemi,,Dragster,,AA/FD,EDIT THIS!
3804,1976,6.131,231.36,Hazen,Gary,Panic!,California,Donovan Hemi,,Dragster,,AA/FD,EDIT THIS!
3805,1966,0.0,0.0,Head,Floyd,Floyd Head,Texas,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3806,1979,5.835,235.6,Head,Jim,Jim Head,Ohio,Keith Black Hemi,,Dragster,,AA/FD,EDIT THIS!
3807,1980,5.825,249.3,Head,Jim,Jim Head,Ohio,Keith Black Hemi,,Dragster,Don Long,TF,EDIT THIS!
3808,1981,5.837,241.28,Head,Jim,Jim Head,Ohio,Keith Black Hemi,,Dragster,Don Long,TF,EDIT THIS!
3809,1982,5.72,250.0,Head,Jim,Jim Head,Ohio,,,Dragster,ACI - Dave Settles,TF,EDIT THIS!
3810,1983,5.866,239.36,Head,Jim,Jim Head,Ohio,Keith Black Hemi,,Dragster,ACI - Dave Settles,TF,EDIT THIS!
3811,1988,5.166,270.27,Head,Jim,Jim Head,Ohio,Keith Black Hemi,,Dragster,Dave Uyehara,TF,EDIT THIS!
3812,1989,5.064,281.6,Head,Jim,Jim Head,Ohio,Keith Black Hemi,,Dragster,Gene Gaddy,TF,EDIT THIS!
3813,1990,5.012,276.66,Head,Jim,Jim Head,Ohio,Keith Black Hemi,,Dragster,Johnny Davis,TF,EDIT THIS!
3814,1991,4.993,282.48,Head,Jim,Jim Head,Ohio,TFX Hemi,,Dragster,John Davis,TF,EDIT THIS!
3815,1992,4.935,288.83,Head,Jim,Jim Head,Ohio,TFX Hemi,,Dragster,John Davis,TF,EDIT THIS!
3816,1993,4.81,294.79,Head,Jim,Jim Head,Ohio,TFX Hemi,,Dragster,Holt Race Cars,TF,EDIT THIS!
3817,1994,4.825,293.63,Head,Jim,Smokin' Joe's Racing,Ohio,TFX Hemi,,Dragster,John Davis,TF,EDIT THIS!
3818,1995,4.801,300.5,Head,Jim,Smokin' Joe's Racing,Ohio,TFX Hemi,,Dragster,John Davis,TF,EDIT THIS!
3819,1996,4.65,308.85,Head,Jim,Smokin' Joe's Racing,Ohio,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
3820,1997,4.636,314.57,Head,Jim,Close Call,Ohio,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
3821,1998,4.577,318.24,Head,Jim,Jim Head,Ohio,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
3822,1999,4.652,314.39,Head,Jim,Checker Schuck's Kragen,Ohio,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
3823,2000,4.781,280.02,Head,Jim,Big Daddy's BBQ Sauce,Ohio,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
3824,2001,4.81,308.78,Head,Jim,Head Racing,Ohio,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
3825,2002,4.633,317.72,Head,Jim,Head Racing,Ohio,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
3826,2003,4.532,331.3,Head,Jim,Head Racing,Ohio,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
3827,1956,10.42,145.86,Heath,Melvin,Melvin Heath,Oklahoma,Chrysler Hemi,,Dragster,Melvin Heath,AA/FD,EDIT THIS!
3828,1957,0.0,105.0,Heath,Melvin,Melvin Heath,Oklahoma,Chrysler Hemi,,Dragster,Melvin Heath,Top Eliminator,EDIT THIS!
3829,1958,0.0,0.0,Heath,Melvin,Melvin Heath,Oklahoma,Chrysler Hemi,,Dragster,Melvin Heath,Top Eliminator,EDIT THIS!
3830,2000,0.0,0.0,Heathcoe,Ray,Heathcoe & Stevens,Alabama,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
3831,2001,5.7,167.0,Heathcoe,Ray,Road House Motorsports,Alabama,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
3832,2002,0.0,0.0,Heathcoe,Ray,Road House Motorsports,Alabama,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
3833,2020,0.0,0.0,Heatley-Smith,Aidan,The Ant Hill Mob,Ontario,Keith Black Hemi,,Dragster,,Top Fuel,EDIT THIS!
3834,2021,0.0,0.0,Heatley-Smith,Aidan,The Ant Hill Mob,Ontario,Keith Black Hemi,,Dragster,,Top Fuel,EDIT THIS!
3835,2022,0.0,0.0,Heatley-Smith,Aidan,The Ant Hill Mob,Ontario,Keith Black Hemi,,Dragster,,Top Fuel,EDIT THIS!
3836,1966,0.0,0.0,Hefferman,Tom,Hefferman-Blood,Maryland,Chevrolet,,Dragster,RCE,B/FD,EDIT THIS!
3837,1966,8.71,178.0,Hefferman,Tom,Tom Hefferman,Maryland,Chrysler Hemi,,Dragster,RCE,AA/FD,EDIT THIS!
3838,1965,8.0,182.0,Heffernan,Tom,Virginian II / El Tigre,Virginia,Chevrolet,,Dragster,RCE,B/FD,EDIT THIS!
3839,1963,8.36,178.57,Heidt,Rich,Heidt & Heidt,California,Chevrolet,,Dragster,,A/FD,EDIT THIS!
3840,1965,7.99,194.8,Heidt,Rich,Wharff-Heidt-Boghosian,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3841,1975,0.0,0.0,Hendricks,Tommy,Tommy Hendricks,Illinois,Chrysler Hemi,,Dragster,Frank Huzar,AA/FD,EDIT THIS!
3842,1976,0.0,0.0,Hendricks,Tommy,Tommy Hendricks,Illinois,Chrysler Hemi,,Dragster,Frank Huzar,AA/FD,EDIT THIS!
3843,1965,7.91,198.43,Hendrickson,Larry,Sandy McThrifty,Washington,Chrysler Hemi,,Dragster,,A/FD,EDIT THIS!
3844,1967,7.83,0.0,Hendrickson,Larry,The Gladiator,Washington,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3845,1968,0.0,0.0,Hendrickson,Larry,The Gladiator,Washington,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3846,1969,6.97,215.82,Hendrickson,Larry,The Gladiator,Washington,Early Chrysler Hemi,,Dragster,Roy Fjastad - SPE,AA/FD,EDIT THIS!
3847,1970,6.49,236.22,Hendrickson,Larry,The Gladiator,Washington,Early Chrysler Hemi,,Dragster,Roy Fjastad - SPE,AA/FD,EDIT THIS!
3848,1971,6.63,0.0,Hendrickson,Larry,The Gladiator,Washington,Chrysler Hemi,,Dragster,Roy Fjastad - SPE,AA/FD,EDIT THIS!
3849,1972,6.76,0.0,Hendrickson,Larry,The Gladiator,Washington,1958 Chrysler Hemi,,Dragster,Roy Fjastad - SPE,AA/FD,EDIT THIS!
3850,1979,6.04,230.0,Hendrickson,Larry,High Dollar Fever,Washington,Keith Black Hemi,,Dragster,,AA/FD,EDIT THIS!
3851,1960,0.0,0.0,Henkle,Don,Don Henkle,Colorado,Chevrolet,,Dragster,,A/FD,EDIT THIS!
3852,1962,0.0,0.0,Henkle,Don,Don Henkle,Colorado,Chevrolet,,Dragster,,A/FD,EDIT THIS!
3853,1963,0.0,0.0,Henkle,Don,Don Henkle,Colorado,Chevrolet,,Dragster,,A/FD,EDIT THIS!
3854,1970,0.0,0.0,Henry,Lanier,Lanier Henry,Colorado,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3855,1969,0.0,0.0,Henson,Jerry,Henson Racing,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3856,1963,0.0,0.0,Hepler,Chuck,Fugitive,Illinois,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3857,1964,7.95,195.65,Hepler,Chuck,Fugitive,Illinois,Chrysler Hemi,,Dragster,Rod Stuckey,AA/FD,EDIT THIS!
3858,1965,8.21,182.92,Hepler,Chuck,Fugitive,Illinois,Chrysler Hemi,,Dragster,Rod Stuckey,AA/FD,EDIT THIS!
3859,1966,7.52,206.42,Hepler,Chuck,Fugitive,Illinois,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3860,1967,7.214,208.32,Hepler,Chuck,Fugitive,Illinois,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3861,1967,7.214,208.24,Hepler,Chuck,Quietus,Illinois,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3862,1991,5.069,281.42,Herbert,Doug,Hugger Motorsports,North Carolina,Keith Black Hemi,,Dragster,Al Swindahl,TF,EDIT THIS!
3863,1992,4.87,298.8,Herbert,Doug,Hugger Motorsports,North Carolina,Keith Black Hemi,,Dragster,Al Swindahl,TF,EDIT THIS!
3864,1993,4.837,301.6,Herbert,Doug,Herbert Performance Parts,North Carolina,Keith Black Hemi,,Dragster,Al Swindahl,TF,EDIT THIS!
3865,1994,4.855,0.0,Herbert,Doug,Herbert Performance Parts,North Carolina,Keith Black Hemi,,Dragster,Al Swindahl,TF,EDIT THIS!
3866,1995,4.965,283.73,Herbert,Doug,Snap-On Tools,North Carolina,Keith Black Hemi,,Dragster,Al Swindahl,TF,EDIT THIS!
3867,1996,4.962,293.54,Herbert,Doug,Snap-On Tools,North Carolina,Keith Black Hemi,,Dragster,Al Swindahl,TF,EDIT THIS!
3868,1997,4.751,306.95,Herbert,Doug,Snap-On Tools,North Carolina,Keith Black Hemi,,Dragster,Dave Jeffers,TF,EDIT THIS!
3869,1998,4.628,317.79,Herbert,Doug,Snap-On Tools,North Carolina,Keith Black Hemi,,Dragster,Dave Jeffers,TF,EDIT THIS!
3870,1999,4.551,321.65,Herbert,Doug,Snap-On Tools,North Carolina,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3871,2000,4.609,318.39,Herbert,Doug,Snap-On Tools,North Carolina,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3872,2001,4.542,325.69,Herbert,Doug,Snap-On Tools,North Carolina,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3873,2002,4.518,324.59,Herbert,Doug,Snap-On Tools,North Carolina,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3874,2003,4.548,325.69,Herbert,Doug,Snap-On Tools,North Carolina,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3875,2004,4.516,329.75,Herbert,Doug,Snap-On Tools,North Carolina,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3876,2005,4.441,330.63,Herbert,Doug,Snap-On Tools,North Carolina,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3877,2006,4.507,325.53,Herbert,Doug,Snap-On Tools,North Carolina,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3878,2007,4.506,326.56,Herbert,Doug,Snap-On Tools,North Carolina,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3879,2008,4.545,327.98,Herbert,Doug,Snap-On Franchise .com,North Carolina,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3880,2009,0.0,0.0,Herbert,Doug,Brakes,North Carolina,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3881,2010,0.0,0.0,Herbert,Doug,Irwin Tools,North Carolina,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3882,2011,0.0,0.0,Herbert,Doug,Denim,North Carolina,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3883,2012,0.0,0.0,Herbert,Doug,Brakes,North Carolina,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3884,2013,0.0,0.0,Herbert,Doug,Brakes,North Carolina,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
3885,1963,0.0,0.0,Herbert,Jim,Ted Taylor,California,Chrysler Hemi,,Dragster,,A/FD,EDIT THIS!
3886,1964,0.0,0.0,Herbert,Jim,Herbert & Stan,California,Chrysler Hemi,,Dragster,Jim Herbert,AA/FD,EDIT THIS!
3887,1965,7.87,204.54,Herbert,Jim,M&R Special,California,Chrysler Hemi,,Dragster,Kent Fuller,AA/FD,EDIT THIS!
3888,1965,7.7,200.0,Herbert,Jim,Shubert & Herbert,California,Chevrolet,,Dragster,,AA/FD,EDIT THIS!
3889,1965,0.0,202.78,Herbert,Jim,Lizard / M&M Speed-Engineering,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3890,1966,0.0,0.0,Herbert,Jim,M&R Special,California,Chrysler Hemi,,Dragster,Kent Fuller,AA/FD,EDIT THIS!
3891,1967,7.35,207.84,Herbert,Jim,Wulf & Van Dyke,California,Chrysler Hemi,,Dragster,,BB/FD,EDIT THIS!
3892,1969,6.94,227.27,Herbert,Jim,The Lizard,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3893,1970,7.565,0.0,Herbert,Jim,Burkholder Bros.,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3894,1970,6.865,218.55,Herbert,Jim,Lizard 1,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3895,1971,6.745,228.42,Herbert,Jim,Lizard,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3896,1971,6.78,0.0,Herbert,Jim,"Bishop, Raynor & Herbert",California,1957 Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3897,1972,0.0,0.0,Herbert,Jim,Lizard,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3898,1972,6.98,206.9,Herbert,Jim,Raynor & Herbert,California,Donovan Hemi,,Dragster,Don Long,AA/FD,EDIT THIS!
3899,1973,6.204,233.16,Herbert,Jim,Raynor & Herbert,California,Donovan Hemi,,Dragster,Don Long,AA/FD,EDIT THIS!
3900,1974,6.06,233.16,Herbert,Jim,Performance World Spl.,California,Donovan Hemi,,Dragster,,AA/FD,EDIT THIS!
3901,1975,6.0,241.93,Herbert,Jim,Performance World Spl.,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3902,1976,0.0,0.0,Herbert,Jim,Performance World Spl.,California,Donovan Hemi,,Dragster,Don Long,AA/FD,EDIT THIS!
3903,1977,0.0,0.0,Herbert,Jim,Performance World Spl.,California,Donovan Hemi,,Dragster,,AA/FD,EDIT THIS!
3904,1978,0.0,0.0,Herbert,Jim,Performance World Spl.,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3905,1978,0.0,0.0,Herbert,Jim,"Garrison, Raynor & Herbert",California,Donovan Hemi,,Dragster,,TF,EDIT THIS!
3906,1979,6.053,233.16,Herbert,Jim,Donovan & Garrison,California,Donovan Hemi,,Dragster,,AA/FD,EDIT THIS!
3907,1979,6.03,235.98,Herbert,Jim,Battleborn,California,Keith Black Hemi,,Dragster,Ron Atterbury,TF,EDIT THIS!
3908,1980,5.995,236.84,Herbert,Jim,Battleborn,California,Keith Black Hemi,,Dragster,Ron Atterbury,TF,EDIT THIS!
3909,1981,0.0,0.0,Herbert,Jim,Battleborn,California,Keith Black Hemi,,Dragster,,TF,EDIT THIS!
3910,1967,0.0,0.0,Hermes,Bill,Bill Hermes - Don's Steel Mains,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3911,1971,0.0,0.0,Herridge,Allan,Commuter,Surrey,Chrysler Hemi,,Dragster,Phelps - Densham,AA/FD,EDIT THIS!
3912,1972,0.0,0.0,Herridge,Allan,Firefly,Middlesex,Ed Pink Hemi,,Dragster,,AA/FD,EDIT THIS!
3913,1973,7.01,218.0,Herridge,Allan,Firefly,Middlesex,Ed Pink Hemi,,Dragster,,AA/FD,EDIT THIS!
3914,1974,0.0,0.0,Herridge,Allan,Firefly,Middlesex,Ed Pink Hemi,,Dragster,,AA/FD,EDIT THIS!
3915,1975,0.0,0.0,Herridge,Allan,Asphalt Alleygator,Middlesex,Ed Pink Hemi,,Dragster,,AA/FD,EDIT THIS!
3916,1975,7.1,0.0,Herridge,Allan,Firefly,Middlesex,Ed Pink Hemi,,Dragster,,AA/FD,EDIT THIS!
3917,1976,6.29,223.0,Herridge,Allan,Asphalt Alleygator 1,Middlesex,Ed Pink Hemi,,Dragster,Allan Herridge,AA/FD,EDIT THIS!
3918,1977,0.0,0.0,Herridge,Allan,Asphalt Alleygator 2,Middlesex,Ed Pink Hemi,,Dragster,Allan Herridge,AA/FD,EDIT THIS!
3919,1978,0.0,0.0,Herridge,Allan,Asphalt Alleygator 3,Middlesex,Ed Pink Hemi,,Dragster,Allan Herridge,AA/FD,EDIT THIS!
3920,1979,6.34,0.0,Herridge,Allan,Asphalt Alleygator 3,Middlesex,Ed Pink Hemi,,Dragster,Allan Herridge,AA/FD,EDIT THIS!
3921,1980,6.2,232.55,Herridge,Allan,Asphalt Alleygator 3,Middlesex,Ed Pink Hemi,,Dragster,Allan Herridge,AA/FD,EDIT THIS!
3922,1967,7.941,195.0,Herrington,Rodger,Herrington Racing,Washington,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3923,2006,5.774,209.59,Hersland,Rene,Automobile EBC,,,,Dragster,,TF,EDIT THIS!
3924,1960,9.045,178.57,Heth,Gordon,Heth & Thompson,Colorado,Chrysler Hemi,,Dragster,Kent Fuller,AA/FD,EDIT THIS!
3925,1960,0.0,0.0,Heth,Gordon,Heth & Thompson,Colorado,Chrysler Hemi,,Dragster,Gordon Heth,AA/FD,EDIT THIS!
3926,1961,0.0,0.0,Heth,Gordon,Heth & Thompson,Colorado,Chrysler Hemi,,Dragster,Kent Fuller,AA/FD,EDIT THIS!
3927,1965,0.0,0.0,Heth,Gordon,Gordon Heth,Colorado,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3928,1966,0.0,0.0,Heth,Gordon,Kenz & Leslie,Colorado,Ford SOHC,,Dragster,Woody Gilmore,AA/FD,EDIT THIS!
3929,1965,8.48,178.24,Hibbard,Richard,Hibbard & McCarthy,California,Chevrolet,,Dragster,,D/FD,EDIT THIS!
3930,1970,0.0,0.0,Hibler,Harry,The Sandman,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3931,1970,6.61,228.42,Hibler,Harry,National Speed Shop Inc.,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3932,1970,7.129,218.44,Hibler,Harry,Olympian,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3933,1970,7.12,0.0,Hibler,Harry,John Smyser,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3934,1971,7.16,0.0,Hibler,Harry,National Speed Shop Inc.,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3935,1971,0.0,0.0,Hibler,Harry,The Sandman,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3936,1972,0.0,0.0,Hibler,Harry,Harry Hibler,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3937,1972,0.0,0.0,Hibler,Harry,John Smyser,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3938,1972,0.0,0.0,Hibler,Harry,The Sandman,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3939,1973,0.0,0.0,Hibler,Harry,The Sandman,California,Donovan Hemi,,Dragster,,AA/FD,EDIT THIS!
3940,1965,8.45,172.08,Hickock,Gary,Gary Hickock & Don Straley,Michigan,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3941,1969,0.0,0.0,Hickox,Gary,Johnson's Speed Shop,Michigan,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3942,1988,7.489,162.6,Hiddleston,Greg,Dons Speed Center,,Chrysler Hemi,,Dragster,,TF,EDIT THIS!
3943,1965,8.03,191.88,Hiester,Tom,Double-O-Seven,Pennsylvania,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3944,1967,7.56,198.22,Higgins,Daniel,,Washington,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3945,1969,6.73,220.58,Higgins,Daniel,Green Dragon,Washington,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3946,1963,0.0,0.0,Hightower,Bob,Trotter & Hightower,Oklahoma,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3947,1963,0.0,0.0,Hightower,Bob,Waters & Tingley,Oklahoma,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3948,1964,0.0,0.0,Hightower,Bob,Waters & Tingley,Oklahoma,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
3949,1965,7.81,199.1,Hightower,Bob,The Vandal,California,Chrysler Hemi,,Dragster,Dale Smart,AA/FD,EDIT THIS!
3950,1965,8.07,193.12,Hightower,Bob,Golden Mistral,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
